commodity_group,commodity,msp_2026_27,price_01_sep,price_31_aug,price_30_aug,arrival_01_sep,arrival_31_aug,arrival_30_aug
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2289.62,2198.38,2069.98,835.15,1519.88,751.42
Cereals,Barley(Jau),2150.00,2394.11,2399.33,2373.97,177.41,407.04,190.49
Cereals,Jowar(Sorghum),3699.00,4477.59,3749.39,3603.64,186.45,368.69,122.40
Cereals,Maize,2400.00,2126.22,2086.83,2113.87,19413.37,18162.07,14208.86
Cereals,Paddy(Common),2369.00,2673.21,2535.60,2611.74,9504.28,18448.84,7024.16
Cereals,Ragi(Finger Millet),4886.00,5023.08,3974.62,3600.00,44.20,26.60,27.30
Cereals,Wheat,2585.00,2640.91,2595.82,2528.49,46244.82,57380.11,22037.60
Fibre Crops,Cotton,7710.00,8595.97,8926.50,7546.65,454.19,512.69,45.97
Oil Seeds,Copra,12100.00,22943.87,15677.72,32996.00,122.90,71.80,2.30
Oil Seeds,Groundnut,7263.00,6949.53,8068.90,6706.33,594.40,1175.43,221.84
Oil Seeds,Mustard,6200.00,7379.00,7398.99,7102.37,2558.71,2003.22,439.40
Oil Seeds,Safflower,6540.00,4788.94,5053.60,0.0,32.90,67.60,0.0
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,11803.66,11792.72,9443.06,115.06,98.18,1.93
Oil Seeds,Soyabean,5328.00,5869.16,5923.26,6639.27,5805.82,5016.09,733.83
Oil Seeds,Sunflower/Sunflower Seed,7721.00,8079.69,7987.11,7903.19,1002.50,361.10,16.10
Others,Sugarcane,285.00,340.00,360.00,340.00,45.00,52.50,40.00
Pulses,Bengal Gram(Gram)(Whole),5875.00,6135.24,6124.51,5778.46,2327.68,2691.94,141.00
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8944.34,8780.60,8302.99,412.54,499.24,139.39
Pulses,Green Gram(Moong)(Whole),8768.00,7809.43,7764.52,7489.03,4618.88,5131.09,1986.27
Pulses,Lentil(Masur)(Whole),7000.00,8052.87,8672.06,8928.34,585.30,527.64,35.88
Pulses,Red gram/Arhar/Tur(whole),8000.00,8118.53,8005.15,7685.95,1844.82,1909.39,608.91
Vegetables,Onion,0.0,3327.78,2932.68,2761.12,13078.81,20587.14,6553.75
Vegetables,Potato,0.0,653.55,637.05,640.19,33139.33,46144.76,21604.86
Vegetables,Tomato,0.0,1937.10,1595.79,1704.61,7194.49,20385.40,12289.30
