field_id,region,crop_type,soil_organic_carbon,soil_ph,nitrogen_kgha,phosphorus_kgha,potassium_kgha,clay_content_pct,sulphur_ppm,calcium_meq,magnesium_meq,zinc_ppm,iron_ppm,copper_ppm,manganese_ppm,boron_ppm,electrical_conductivity_dsm,cumulative_rainfall_mm,growing_degree_days,avg_temperature_c,heat_stress_days,peak_ndvi,bio_applied,bio_product_type,bio_dosage_l_ha,observed_yield_q_acre,counterfactual_yield_q_acre,bio_attributed_lift_q,crop_msp_rs_q,gross_revenue_gain_rs,net_profit_rs
IND_FIELD_0001,Maharashtra & Vidarbha (Deccan),Maize,7.25,6.14,82.3,39.9,168.6,33.0,6.3,17.7,10.4,0.31,3.48,0.44,4.97,0.7,0.17,1149.9,3139.0,22.1,7,0.92,1,Syngenta CropBio+ (Biostimulant),1.5,52.57,46.38,6.19,2225.0,13771.0,11902.0
IND_FIELD_0002,Karnataka & Tamil Nadu,Soybean,4.29,7.17,72.7,19.4,112.5,45.9,19.9,28.4,4.3,0.86,6.34,0.88,5.85,0.53,0.39,781.6,3014.2,32.5,4,0.797,1,Syngenta Quantis,2.87,20.5,17.83,2.67,4892.0,13072.0,11132.0
IND_FIELD_0003,Uttar Pradesh & Bihar,Soybean,8.01,6.24,223.7,49.5,204.4,35.5,9.1,11.5,6.0,0.91,3.66,0.62,6.55,0.58,0.76,1347.2,2818.6,28.7,5,0.92,0,None,0.0,23.39,23.88,-0.48,4892.0,-2368.0,-2368.0
IND_FIELD_0004,Andhra Pradesh & Telangana,Rice (Paddy),6.92,6.47,94.2,38.4,107.0,34.2,6.8,30.7,11.6,1.21,8.96,0.76,6.35,0.75,0.18,1123.8,1905.5,30.9,6,0.92,0,None,0.0,37.01,37.18,-0.17,2300.0,-383.0,-383.0
IND_FIELD_0005,Punjab & Haryana (Indo-Gangetic),Wheat,10.95,6.32,207.8,18.8,304.2,31.6,17.8,31.7,9.1,0.86,7.07,0.39,6.85,0.86,0.45,850.7,1868.7,33.9,5,0.877,1,Syngenta Quantis,1.97,46.1,41.47,4.63,2275.0,10535.0,8834.0
IND_FIELD_0006,Punjab & Haryana (Indo-Gangetic),Groundnut (Peanut),10.16,6.24,158.0,53.4,124.1,24.3,19.9,11.9,13.2,1.31,3.41,0.35,7.32,0.44,0.68,855.1,2972.6,29.0,2,0.881,1,Syngenta Quantis,2.67,27.87,25.81,2.06,6783.0,13970.0,12069.0
IND_FIELD_0007,Punjab & Haryana (Indo-Gangetic),Maize,7.51,7.78,74.0,34.3,140.7,18.1,20.6,16.4,8.0,0.99,3.5,0.75,4.41,0.49,0.82,1322.7,2485.5,28.5,2,0.92,1,Syngenta Quantis,2.13,52.1,45.64,6.46,2225.0,14375.0,12692.0
IND_FIELD_0008,Karnataka & Tamil Nadu,Rice (Paddy),5.9,6.49,232.0,15.1,177.6,25.2,14.9,18.2,12.6,1.22,7.67,0.68,7.23,0.9,0.84,997.6,2940.4,25.8,8,0.898,1,Syngenta Isabion,2.69,46.31,39.74,6.58,2300.0,15123.0,13324.0
IND_FIELD_0009,Andhra Pradesh & Telangana,Cotton,14.37,8.03,104.5,39.0,172.0,33.3,9.7,27.1,8.2,0.46,9.08,0.68,5.98,0.65,0.45,1121.1,2238.1,26.0,4,0.92,0,None,0.0,23.04,23.11,-0.07,7121.0,-506.0,-506.0
IND_FIELD_0010,Uttar Pradesh & Bihar,Tomato,8.49,8.13,214.7,22.9,270.7,29.4,19.3,23.1,13.8,1.24,6.4,0.59,2.39,0.38,0.82,846.2,2356.7,32.4,4,0.844,1,Syngenta Quantis,2.36,300.09,270.13,29.96,2400.0,71897.0,69965.0
IND_FIELD_0011,Punjab & Haryana (Indo-Gangetic),Rice (Paddy),11.07,7.17,90.4,46.6,189.5,31.5,18.6,24.2,13.6,1.04,7.25,0.59,5.75,0.71,0.17,662.5,2780.3,27.8,2,0.799,1,Syngenta Isabion,2.15,45.46,40.64,4.82,2300.0,11084.0,9176.0
IND_FIELD_0012,Karnataka & Tamil Nadu,Wheat,5.05,6.14,213.7,47.2,121.0,47.4,10.4,26.7,7.0,0.49,9.04,0.71,5.78,0.94,0.67,1137.4,3081.5,24.1,6,0.92,1,Syngenta Quantis,1.86,40.44,35.84,4.6,2275.0,10460.0,8670.0
IND_FIELD_0013,Uttar Pradesh & Bihar,Cotton,8.84,6.7,62.4,54.1,144.1,28.5,22.3,12.6,12.8,0.51,7.66,0.39,6.98,0.83,0.6,1027.4,1922.9,23.2,6,0.92,1,Syngenta Isabion,1.55,23.87,20.78,3.1,7121.0,22045.0,20381.0
IND_FIELD_0014,Punjab & Haryana (Indo-Gangetic),Groundnut (Peanut),3.8,7.71,152.1,33.6,202.2,31.6,7.9,28.3,12.4,1.32,4.84,0.45,4.05,0.77,0.32,926.3,3006.1,28.1,3,0.831,1,Syngenta Quantis,2.38,23.21,20.59,2.62,6783.0,17774.0,16069.0
IND_FIELD_0015,Punjab & Haryana (Indo-Gangetic),Maize,9.06,6.68,198.5,31.6,115.4,22.0,23.7,25.5,5.7,0.34,7.68,0.81,5.22,0.4,0.51,1042.8,2910.2,28.0,4,0.92,0,None,0.0,53.44,53.13,0.31,2225.0,696.0,696.0
IND_FIELD_0016,Punjab & Haryana (Indo-Gangetic),Cotton,14.1,6.01,228.3,44.4,226.8,19.4,21.5,22.7,10.1,0.81,7.79,0.42,2.07,0.86,0.24,647.9,2241.8,30.5,4,0.873,0,None,0.0,25.66,24.91,0.75,7121.0,5351.0,5351.0
IND_FIELD_0017,Maharashtra & Vidarbha (Deccan),Soybean,7.73,7.14,223.7,17.7,215.8,41.3,18.4,29.6,4.3,0.64,8.56,0.58,3.83,0.62,0.76,1204.2,2297.3,28.1,5,0.92,0,None,0.0,23.07,22.96,0.11,4892.0,548.0,548.0
IND_FIELD_0018,Andhra Pradesh & Telangana,Maize,3.93,7.83,207.5,35.5,251.5,35.1,22.9,25.4,12.3,1.03,7.73,0.69,2.34,0.87,0.4,1350.8,1865.0,23.9,8,0.92,1,Syngenta Isabion,2.93,54.75,47.48,7.27,2225.0,16179.0,14483.0
IND_FIELD_0019,Maharashtra & Vidarbha (Deccan),Sugarcane,3.84,7.71,219.9,35.5,305.0,40.8,19.0,14.4,5.3,1.22,10.28,0.9,4.87,0.48,0.59,1296.5,1822.0,28.6,5,0.92,0,None,0.0,542.05,541.79,0.26,340.0,88.0,88.0
IND_FIELD_0020,Maharashtra & Vidarbha (Deccan),Cotton,7.77,6.22,95.9,15.8,298.9,22.5,9.4,19.5,4.2,0.7,4.64,0.5,6.5,0.29,0.26,755.4,2467.8,33.8,6,0.831,1,Syngenta CropBio+ (Biostimulant),2.9,22.3,19.24,3.06,7121.0,21770.0,19816.0
IND_FIELD_0021,Andhra Pradesh & Telangana,Onion,5.26,7.41,111.2,30.0,307.1,35.2,14.0,20.9,7.7,0.77,10.14,0.5,3.14,0.58,0.29,835.7,1933.8,24.1,8,0.888,0,None,0.0,190.92,191.21,-0.3,2800.0,-836.0,-836.0
IND_FIELD_0022,Punjab & Haryana (Indo-Gangetic),Cotton,3.76,6.33,112.0,48.7,138.7,25.6,7.3,11.2,9.6,1.38,7.13,0.79,4.9,0.44,0.84,1218.0,2071.6,31.0,3,0.92,0,None,0.0,18.2,18.27,-0.07,7121.0,-493.0,-493.0
IND_FIELD_0023,Maharashtra & Vidarbha (Deccan),Rice (Paddy),11.82,6.32,127.9,48.8,111.6,24.8,13.0,31.0,12.5,1.16,8.11,0.76,3.12,0.75,0.68,1015.4,2985.5,29.7,5,0.92,1,Syngenta CropBio+ (Biostimulant),1.52,48.52,43.0,5.52,2300.0,12707.0,10732.0
IND_FIELD_0024,Maharashtra & Vidarbha (Deccan),Tur / Pigeon Pea (Arhar),8.54,7.9,130.8,16.3,152.5,18.3,19.3,12.8,13.7,1.29,3.93,0.71,2.66,0.92,0.82,970.5,2599.4,31.7,8,0.92,1,Syngenta Isabion,2.1,19.35,17.15,2.2,7550.0,16580.0,14733.0
IND_FIELD_0025,Maharashtra & Vidarbha (Deccan),Rice (Paddy),6.68,6.4,158.0,15.9,294.8,21.9,13.0,25.3,8.1,0.78,5.98,0.52,4.81,0.73,0.36,1330.3,2687.1,24.0,3,0.92,0,None,0.0,38.54,39.47,-0.94,2300.0,-2157.0,-2157.0
IND_FIELD_0026,Uttar Pradesh & Bihar,Sugarcane,13.4,6.43,88.8,23.3,313.3,27.3,11.9,21.1,4.1,0.56,8.82,0.43,2.44,0.87,0.27,959.2,2062.5,34.2,3,0.92,1,Syngenta Quantis,1.91,685.75,623.87,61.88,340.0,21040.0,19229.0
IND_FIELD_0027,Punjab & Haryana (Indo-Gangetic),Rice (Paddy),4.78,5.8,184.4,49.6,286.2,21.5,16.7,10.6,11.4,0.75,8.36,0.63,5.23,0.57,0.5,939.2,2960.1,30.1,5,0.866,0,None,0.0,38.61,38.0,0.61,2300.0,1411.0,1411.0
IND_FIELD_0028,Andhra Pradesh & Telangana,Cotton,14.02,7.89,90.2,17.5,106.4,47.6,21.7,30.3,9.4,1.09,3.49,0.81,2.17,0.79,0.5,489.9,3015.2,33.0,6,0.839,0,None,0.0,21.82,22.08,-0.26,7121.0,-1880.0,-1880.0
IND_FIELD_0029,Andhra Pradesh & Telangana,Tomato,6.95,7.7,115.9,43.0,307.4,27.3,6.9,28.7,8.2,0.42,7.19,0.82,2.59,0.84,0.27,515.9,2532.7,25.2,7,0.737,0,None,0.0,235.65,235.12,0.53,2400.0,1279.0,1279.0
IND_FIELD_0030,Punjab & Haryana (Indo-Gangetic),Rice (Paddy),13.27,7.31,150.6,16.4,181.6,21.9,12.9,21.5,6.7,0.6,3.84,0.28,5.02,0.75,0.66,457.0,3077.6,31.6,10,0.792,1,Syngenta Quantis,1.48,49.83,42.77,7.07,2300.0,16251.0,14200.0
IND_FIELD_0031,Andhra Pradesh & Telangana,Gram / Chickpea (Chana),10.13,7.6,203.4,38.8,82.2,24.0,8.8,15.0,8.8,0.35,10.47,0.5,5.25,0.61,0.4,1317.6,2982.8,32.2,6,0.92,0,None,0.0,19.4,20.52,-1.12,5440.0,-6104.0,-6104.0
IND_FIELD_0032,Punjab & Haryana (Indo-Gangetic),Cotton,12.59,6.16,193.1,27.3,186.2,35.6,18.5,12.7,7.1,0.78,9.75,0.53,2.16,0.69,0.28,838.0,2823.9,27.2,6,0.92,1,Syngenta Isabion,2.86,26.68,24.17,2.51,7121.0,17881.0,16220.0
IND_FIELD_0033,Punjab & Haryana (Indo-Gangetic),Cotton,14.32,6.9,176.2,45.9,91.1,19.9,7.9,18.0,11.4,1.21,3.35,0.88,5.15,0.74,0.38,895.1,2827.7,27.0,6,0.92,1,Syngenta Quantis,2.22,26.93,24.28,2.65,7121.0,18896.0,17111.0
